ticker,entry_date,exit_date,entry_px,exit_px,stop_px,ret_pct,reason,hold_days
1333.T,2025-09-08,2026-01-13,1146.0,1300.4,1146.0,13.47,time,127
1375.T,2025-01-27,2025-02-03,1113.6,1125.3,985.8,1.05,ma200_breach,7
1375.T,2025-02-05,2025-02-25,1157.4,1174.0,985.8,1.43,ma200_breach,20
1301.T,2025-07-25,2025-10-29,4646.2,4631.6,4646.2,-0.31,stop_breakeven,96
1332.T,2025-11-17,2026-02-04,1188.3,1334.9,1188.3,12.33,earnings_close,79
1515.T,2025-07-09,2025-11-12,1487.0,1619.4,1487.0,8.91,time,126
1417.T,2025-02-12,2025-02-25,2235.7,2147.6,2090.1,-3.94,ma200_breach,13
1417.T,2025-05-29,2025-06-02,2463.4,2484.8,2041.4,0.87,ma200_breach,4
1417.T,2025-07-10,2025-11-13,2507.7,3201.4,2507.7,27.66,time,126
1417.T,2025-11-26,2026-04-01,3253.8,3716.0,3253.8,14.21,time,126
1433.T,2025-05-30,2025-06-02,1093.6,1084.9,1000.7,-0.8,ma200_breach,3
1433.T,2025-06-10,2025-06-13,1121.7,1093.6,1007.5,-2.5,ma200_breach,3
1433.T,2025-08-04,2025-09-10,1137.1,1077.3,1137.1,-5.26,stop_breakeven,37
1662.T,2025-09-18,2025-10-10,1256.3,1252.5,1256.3,-0.3,stop_breakeven,22
1662.T,2025-11-26,2026-02-10,1419.3,2122.9,1419.3,49.58,earnings_close,76
1518.T,2025-07-22,2025-11-25,1038.3,1309.6,1038.3,26.13,time,126
1518.T,2025-11-26,2026-03-09,1329.0,1327.1,1329.0,-0.15,stop_breakeven,103
1429.T,2025-08-26,2025-10-01,861.0,858.1,861.0,-0.33,stop_breakeven,36
1605.T,2025-08-21,2025-12-25,2353.0,3107.8,2353.0,32.08,time,126
1720.T,2025-05-14,2025-05-15,822.1,833.7,700.9,1.42,ma200_breach,1
1720.T,2025-05-30,2025-06-02,884.1,899.6,750.4,1.75,ma200_breach,3
1720.T,2025-06-11,2025-06-13,960.7,982.1,793.0,2.22,ma200_breach,2
1720.T,2025-08-01,2025-10-14,1029.6,1028.1,1029.6,-0.14,stop_breakeven,74
1720.T,2025-11-18,2026-03-24,1096.1,1428.3,1096.1,30.31,time,126
1719.T,2025-02-18,2025-02-25,1244.0,1240.3,1040.6,-0.3,ma200_breach,7
1719.T,2025-07-02,2025-11-05,1412.7,1713.1,1412.7,21.26,time,126
1719.T,2025-11-13,2026-03-19,1762.5,1865.8,1762.5,5.86,time,126
1721.T,2025-05-29,2025-06-02,3243.7,3219.3,2960.6,-0.75,ma200_breach,4
1721.T,2025-06-30,2025-11-04,3246.6,3917.6,3246.6,20.67,time,127
1721.T,2025-11-05,2026-03-11,4003.6,5369.4,4003.6,34.12,time,126
1762.T,2025-08-01,2025-12-05,3081.5,3866.5,3081.5,25.47,time,126
1766.T,2025-02-13,2025-02-25,12058.9,11907.0,11118.9,-1.26,ma200_breach,12
1766.T,2025-06-19,2025-10-23,13665.6,14239.9,13665.6,4.2,time,126
1766.T,2025-11-25,2025-12-05,14278.8,13616.9,13665.6,-4.64,stop_base,10
1780.T,2025-07-14,2025-11-17,1277.1,1438.0,1277.1,12.6,time,126
1786.T,2025-02-13,2025-02-25,376.3,357.4,355.5,-5.03,ma200_breach,12
1786.T,2025-09-09,2026-01-13,413.8,411.7,364.6,-0.5,time,126
1801.T,2025-02-13,2025-02-25,6510.6,6505.9,6020.8,-0.07,ma200_breach,12
1801.T,2025-06-18,2025-08-06,8227.2,9465.0,8227.2,15.05,earnings_close,49
1801.T,2025-08-12,2025-12-16,9756.1,13893.9,9756.1,42.41,time,126
1803.T,2025-01-21,2025-01-29,1235.7,1310.0,1134.2,6.01,earnings_close,8
1803.T,2025-02-13,2025-02-25,1395.3,1302.3,1181.6,-6.66,ma200_breach,12
1803.T,2025-05-29,2025-06-02,1556.1,1555.6,1296.4,-0.03,ma200_breach,4
1803.T,2025-07-17,2025-07-28,1617.8,1604.2,1527.4,-0.84,earnings_close,11
1803.T,2025-08-01,2025-11-05,1692.2,2148.8,1692.2,26.98,earnings_close,96
1803.T,2025-11-10,2026-02-03,2231.9,2855.4,2231.9,27.94,earnings_close,85
1802.T,2025-02-10,2025-02-25,2032.9,1918.6,1888.1,-5.62,ma200_breach,15
1802.T,2025-08-01,2025-08-06,2241.6,2336.3,2085.1,4.23,earnings_close,5
1802.T,2025-08-20,2025-12-24,2361.6,3245.3,2361.6,37.42,time,126
1808.T,2025-02-17,2025-02-21,1942.2,1859.8,1865.5,-4.24,stop_base,4
1808.T,2025-06-19,2025-10-23,2102.4,2522.0,2102.4,19.96,time,126
1808.T,2025-10-27,2026-03-02,2535.8,3308.5,2535.8,30.47,time,126
1812.T,2025-06-18,2025-08-04,3691.6,3757.9,3398.1,1.8,earnings_close,47
1812.T,2025-08-06,2025-12-10,4043.6,5688.0,4043.6,40.67,time,126
1813.T,2025-08-05,2025-11-18,2331.9,2318.4,2331.9,-0.58,stop_breakeven,105
